id	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0
scaffold149537-9148	4	7.007e-01	3.312e+00	3.302e+00	3.157e-01	5.197e-01	2.855e-01	6.532e+01	3.497e+01	6.547e+00	3.657e+00
scaffold149546-22177	4	7.983e-01	2.059e+00	2.185e+00	3.460e-01	5.352e-01	2.787e-01	3.083e+01	3.118e+01	3.723e+00	2.814e+00
scaffold149546-22185	4	7.980e-01	2.024e-01	1.770e+00	9.090e-01	5.316e-01	2.808e-01	2.484e+01	3.103e+01	6.305e+00	3.076e+00
scaffold149546-22187	4	8.114e-01	1.789e+00	2.235e+00	4.234e-01	5.191e-01	2.797e-01	2.400e+01	3.020e+01	4.606e+00	2.924e+00
scaffold149553-584	4	7.788e-01	6.391e-01	3.147e+00	8.391e-01	5.261e-01	2.891e-01	3.908e+01	3.537e+01	9.038e+00	3.067e+00
scaffold149553-9902	4	7.925e-01	3.878e-01	2.314e+00	8.669e-01	5.219e-01	2.888e-01	3.226e+01	3.372e+01	7.555e+00	2.876e+00
scaffold149612-583	4	7.996e-01	4.291e-01	2.494e+00	8.634e-01	5.355e-01	2.906e-01	2.484e+01	2.972e+01	5.859e+00	2.771e+00
scaffold149775-9973	4	6.946e-01	3.404e+00	3.763e+00	3.657e-01	5.226e-01	2.834e-01	6.300e+01	3.855e+01	5.077e+00	3.531e+00
scaffold149808-9884	4	7.569e-01	5.588e+00	3.574e+00	1.180e-01	5.282e-01	2.885e-01	4.525e+01	3.687e+01	3.374e+00	3.380e+00
scaffold149856-11139	4	7.464e-01	6.720e+00	4.292e+00	1.174e-01	5.175e-01	2.754e-01	4.954e+01	3.809e+01	5.595e+00	3.874e+00
scaffold149856-11193	4	7.290e-01	2.595e+00	3.326e+00	4.353e-01	5.119e-01	2.856e-01	5.494e+01	3.586e+01	5.998e+00	3.567e+00
scaffold149856-11196	4	7.636e-01	5.901e+00	3.623e+00	1.034e-01	5.240e-01	2.868e-01	4.553e+01	3.595e+01	4.125e+00	3.504e+00
scaffold149897-5104	4	5.656e-01	1.939e+00	3.369e+00	5.650e-01	4.687e-01	2.835e-01	8.708e+01	3.380e+01	8.313e+00	4.156e+00
scaffold149897-5110	4	6.976e-01	5.308e+00	3.577e+00	1.378e-01	4.952e-01	2.930e-01	6.515e+01	3.659e+01	5.440e+00	3.936e+00
scaffold149897-5352	4	7.575e-01	4.750e+00	3.382e+00	1.602e-01	5.270e-01	2.856e-01	4.695e+01	3.666e+01	3.861e+00	3.235e+00
scaffold150049-7037	4	7.497e-01	5.051e+00	4.182e+00	2.271e-01	5.221e-01	2.834e-01	4.609e+01	3.871e+01	5.809e+00	3.992e+00
scaffold150049-7217	4	7.782e-01	1.126e-01	2.322e+00	9.613e-01	5.195e-01	2.949e-01	3.643e+01	3.329e+01	8.479e+00	2.956e+00
scaffold150049-7355	4	7.998e-01	2.709e+00	2.753e+00	3.251e-01	5.350e-01	2.908e-01	2.683e+01	3.129e+01	4.855e+00	2.891e+00
scaffold15012-7324	4	7.464e-01	4.257e+00	3.158e+00	1.777e-01	5.173e-01	2.855e-01	5.270e+01	3.584e+01	8.167e+00	3.575e+00
scaffold15012-9833	4	8.009e-01	2.829e-01	1.654e+00	8.641e-01	5.408e-01	2.871e-01	2.301e+01	2.996e+01	7.799e+00	3.046e+00
scaffold150135-7455	4	7.914e-01	-5.039e+00	3.633e+00	1.654e-01	5.286e-01	2.863e-01	3.621e+01	3.340e+01	7.460e+00	3.137e+00
scaffold150135-8654	4	8.149e-01	-5.227e-01	1.641e+00	7.500e-01	5.465e-01	2.807e-01	1.811e+01	2.420e+01	7.682e+00	3.278e+00
scaffold150135-8693	4	7.716e-01	2.471e+00	2.407e+00	3.045e-01	5.310e-01	2.823e-01	3.568e+01	3.665e+01	4.552e+00	3.375e+00
scaffold150135-8697	4	8.061e-01	2.341e-01	2.141e+00	9.129e-01	5.295e-01	2.868e-01	1.950e+01	2.711e+01	7.215e+00	2.792e+00
scaffold150179-5933	4	8.061e-01	4.925e+00	3.204e+00	1.243e-01	5.354e-01	2.926e-01	2.648e+01	2.947e+01	3.527e+00	2.751e+00
scaffold15029-25438	4	7.865e-01	2.526e-01	2.796e+00	9.280e-01	5.433e-01	2.803e-01	3.377e+01	3.559e+01	8.060e+00	3.687e+00
scaffold15029-25461	4	8.051e-01	6.416e-01	2.493e+00	7.969e-01	5.416e-01	2.809e-01	2.258e+01	2.870e+01	5.937e+00	2.760e+00
scaffold15045-9866	4	7.465e-01	4.984e+00	4.038e+00	2.171e-01	5.185e-01	2.897e-01	4.913e+01	3.597e+01	4.543e+00	3.341e+00
scaffold150477-5336	4	7.772e-01	5.512e+00	3.939e+00	1.617e-01	5.115e-01	2.856e-01	3.940e+01	3.428e+01	4.495e+00	3.032e+00
scaffold1506-15631	4	7.947e-01	2.584e+00	2.812e+00	3.582e-01	5.326e-01	2.855e-01	2.722e+01	3.046e+01	7.231e+00	2.983e+00
scaffold1506-17794	4	7.527e-01	4.508e+00	3.386e+00	1.830e-01	5.288e-01	2.857e-01	5.130e+01	3.530e+01	4.434e+00	3.488e+00
scaffold1506-17857	4	7.635e-01	5.710e+00	4.257e+00	1.798e-01	5.187e-01	2.914e-01	4.805e+01	3.536e+01	4.895e+00	3.340e+00
scaffold1506-17874	4	7.613e-01	2.233e+00	3.191e+00	4.840e-01	5.240e-01	2.834e-01	4.842e+01	3.612e+01	5.034e+00	3.183e+00
scaffold150645-10511	4	7.722e-01	4.638e+00	3.555e+00	1.921e-01	5.162e-01	2.949e-01	4.343e+01	3.386e+01	3.974e+00	3.352e+00
scaffold15065-27774	4	8.126e-01	-5.799e-01	1.992e+00	7.710e-01	5.379e-01	2.869e-01	2.139e+01	2.837e+01	6.272e+00	3.068e+00
scaffold150682-6273	4	7.739e-01	9.274e-01	2.004e+00	6.435e-01	5.249e-01	2.863e-01	3.867e+01	3.665e+01	8.080e+00	3.252e+00
scaffold150682-6301	4	7.767e-01	6.321e+00	3.950e+00	1.095e-01	5.089e-01	2.873e-01	4.432e+01	3.569e+01	4.557e+00	3.433e+00
scaffold150766-6049	4	8.011e-01	-5.568e-01	2.258e+00	8.052e-01	5.307e-01	2.847e-01	2.341e+01	2.850e+01	7.317e+00	2.779e+00
scaffold150766-6061	4	8.078e-01	-1.982e-01	2.239e+00	9.295e-01	5.405e-01	2.815e-01	2.075e+01	2.665e+01	6.327e+00	2.703e+00
scaffold150766-6073	4	8.045e-01	-1.837e+00	2.772e+00	5.076e-01	5.325e-01	2.855e-01	2.531e+01	3.010e+01	6.875e+00	3.003e+00
scaffold150766-6085	4	7.925e-01	1.343e+00	2.005e+00	5.030e-01	5.291e-01	2.893e-01	2.865e+01	3.080e+01	6.792e+00	2.795e+00
scaffold150766-6097	4	8.033e-01	1.283e-01	2.793e+00	9.634e-01	5.321e-01	2.894e-01	2.915e+01	3.236e+01	6.230e+00	2.984e+00
scaffold150766-6109	4	8.024e-01	-6.661e-01	1.902e+00	7.262e-01	5.376e-01	2.865e-01	2.394e+01	2.963e+01	6.935e+00	2.652e+00
scaffold150766-6167	4	7.942e-01	7.988e-01	2.294e+00	7.276e-01	5.472e-01	2.840e-01	2.320e+01	2.961e+01	6.040e+00	2.773e+00
scaffold150766-6169	4	7.907e-01	4.725e-01	1.966e+00	8.101e-01	5.322e-01	2.851e-01	2.743e+01	3.126e+01	6.696e+00	2.807e+00
scaffold150766-6172	4	7.487e-01	7.472e+00	4.100e+00	6.840e-02	5.175e-01	2.867e-01	4.552e+01	3.793e+01	7.582e+00	4.100e+00
scaffold15080-8766	4	7.804e-01	2.037e+00	3.130e+00	5.153e-01	5.296e-01	2.810e-01	4.452e+01	3.557e+01	8.363e+00	3.249e+00
scaffold15080-8779	4	7.975e-01	-2.182e-01	2.599e+00	9.331e-01	5.261e-01	2.810e-01	3.007e+01	3.260e+01	7.711e+00	3.331e+00
scaffold15080-8801	4	7.770e-01	4.448e+00	3.008e+00	1.392e-01	5.286e-01	2.815e-01	3.679e+01	3.460e+01	4.294e+00	3.434e+00
scaffold15080-11995	4	7.755e-01	4.350e-01	2.454e+00	8.593e-01	5.295e-01	2.817e-01	3.259e+01	3.508e+01	6.709e+00	3.237e+00
scaffold150809-10262	4	7.797e-01	3.349e+00	3.921e+00	3.931e-01	5.336e-01	2.818e-01	4.254e+01	3.416e+01	4.265e+00	3.065e+00
scaffold150809-10337	4	7.904e-01	4.798e+00	3.411e+00	1.595e-01	5.237e-01	2.883e-01	3.326e+01	3.393e+01	4.292e+00	3.269e+00
scaffold150812-208	4	7.646e-01	5.253e+00	3.558e+00	1.398e-01	5.153e-01	2.834e-01	4.648e+01	3.551e+01	4.423e+00	3.318e+00
scaffold150812-2169	4	7.981e-01	9.085e+00	4.138e+00	2.812e-02	5.400e-01	2.768e-01	3.497e+01	3.258e+01	4.008e+00	2.965e+00
scaffold15084-8430	4	6.826e-01	3.881e+00	3.332e+00	2.440e-01	5.125e-01	2.852e-01	6.626e+01	3.575e+01	7.823e+00	3.902e+00
scaffold15084-8499	4	7.966e-01	-3.107e-01	2.143e+00	8.847e-01	5.231e-01	2.859e-01	2.985e+01	3.219e+01	7.405e+00	2.815e+00
scaffold15089-6142	4	7.819e-01	-1.882e+00	2.819e+00	5.044e-01	5.442e-01	2.835e-01	3.668e+01	3.421e+01	9.137e+00	3.331e+00
scaffold15089-6153	4	7.096e-01	4.954e+00	3.634e+00	1.728e-01	4.987e-01	2.904e-01	6.128e+01	3.585e+01	7.496e+00	4.034e+00
scaffold150890-9653	4	7.344e-01	5.482e+00	3.697e+00	1.381e-01	5.226e-01	2.849e-01	5.350e+01	3.509e+01	5.148e+00	3.513e+00
scaffold150890-9737	4	7.603e-01	3.618e+00	3.417e+00	2.898e-01	5.209e-01	2.831e-01	4.833e+01	3.429e+01	3.753e+00	3.310e+00
scaffold150890-13715	4	7.414e-01	1.965e+00	2.566e+00	4.440e-01	5.076e-01	2.820e-01	5.187e+01	3.658e+01	6.667e+00	3.425e+00
scaffold150890-13738	4	8.087e-01	4.170e+00	2.853e+00	1.438e-01	5.396e-01	2.892e-01	2.711e+01	2.985e+01	3.722e+00	2.962e+00
scaffold151145-10118	4	7.777e-01	5.657e+00	3.979e+00	1.551e-01	5.220e-01	2.833e-01	4.417e+01	3.568e+01	4.100e+00	3.332e+00
scaffold151171-35944	4	7.815e-01	4.561e+00	3.167e+00	1.498e-01	5.448e-01	2.868e-01	4.060e+01	3.417e+01	3.099e+00	3.115e+00
scaffold15139-3983	4	7.763e-01	3.767e+00	3.157e+00	2.327e-01	5.201e-01	2.815e-01	3.660e+01	3.373e+01	4.429e+00	3.221e+00
scaffold15172-3517	4	7.290e-01	3.694e+00	3.266e+00	2.580e-01	5.124e-01	2.901e-01	5.721e+01	3.518e+01	5.009e+00	3.419e+00
scaffold15172-9378	4	7.186e-01	7.248e+00	4.083e+00	7.590e-02	4.923e-01	2.913e-01	6.236e+01	3.885e+01	5.136e+00	3.808e+00
scaffold151830-11807	4	6.767e-01	3.755e+00	3.170e+00	2.361e-01	5.084e-01	2.925e-01	6.878e+01	3.654e+01	4.414e+00	3.884e+00
scaffold15201-4443	4	7.513e-01	6.847e+00	4.097e+00	9.470e-02	5.228e-01	2.825e-01	4.825e+01	3.440e+01	3.327e+00	3.377e+00
scaffold15202-23825	4	7.725e-01	7.242e+00	4.198e+00	8.450e-02	5.312e-01	2.843e-01	4.504e+01	3.501e+01	3.706e+00	3.320e+00
scaffold152032-11699	4	7.876e-01	4.856e+00	3.482e+00	1.632e-01	5.296e-01	2.806e-01	3.362e+01	3.223e+01	4.349e+00	2.984e+00
scaffold152045-11633	4	7.901e-01	5.062e+00	3.467e+00	1.443e-01	5.412e-01	2.820e-01	3.523e+01	3.396e+01	3.733e+00	3.198e+00
scaffold15207-1861	4	7.175e-01	4.495e+00	3.681e+00	2.220e-01	5.184e-01	2.925e-01	6.098e+01	3.732e+01	4.350e+00	3.720e+00
scaffold152098-31189	4	7.966e-01	3.347e+00	2.722e+00	2.188e-01	5.252e-01	2.906e-01	3.662e+01	3.325e+01	5.567e+00	2.992e+00
scaffold152157-15606	4	7.621e-01	5.806e+00	3.671e+00	1.138e-01	5.431e-01	2.797e-01	4.947e+01	3.617e+01	3.240e+00	3.125e+00
scaffold152157-15743	4	7.199e-01	3.804e+00	3.168e+00	2.297e-01	5.183e-01	2.926e-01	5.861e+01	3.861e+01	5.401e+00	4.381e+00
scaffold152296-4482	4	7.219e-01	7.252e+00	4.329e+00	9.392e-02	5.025e-01	2.766e-01	5.646e+01	3.835e+01	5.062e+00	3.842e+00
scaffold15233-1508	4	7.985e-01	7.274e+00	4.017e+00	7.019e-02	5.332e-01	2.826e-01	3.328e+01	3.244e+01	3.115e+00	3.009e+00
scaffold15233-1510	4	6.066e-01	5.473e+00	3.770e+00	1.466e-01	4.903e-01	2.857e-01	7.771e+01	3.706e+01	7.532e+00	4.344e+00
scaffold152343-7080	4	7.954e-01	-1.654e+00	2.666e+00	5.351e-01	5.389e-01	2.822e-01	2.490e+01	2.880e+01	7.199e+00	2.841e+00
scaffold152343-7128	4	7.857e-01	-1.258e+00	2.453e+00	6.080e-01	5.444e-01	2.906e-01	3.240e+01	3.323e+01	7.378e+00	3.171e+00
scaffold15249-6332	4	7.875e-01	2.930e+00	2.672e+00	2.727e-01	5.175e-01	2.849e-01	3.128e+01	3.289e+01	4.533e+00	3.187e+00
scaffold15249-6356	4	7.918e-01	1.557e+00	2.839e+00	5.833e-01	5.307e-01	2.830e-01	3.594e+01	3.364e+01	6.559e+00	3.337e+00
scaffold15249-6421	4	7.997e-01	-3.512e-01	2.059e+00	8.646e-01	5.129e-01	2.840e-01	2.743e+01	3.123e+01	6.868e+00	2.932e+00
scaffold152686-13288	4	7.857e-01	2.566e+00	2.668e+00	3.362e-01	5.182e-01	2.900e-01	3.537e+01	3.363e+01	3.837e+00	3.139e+00
scaffold15280-24497	4	6.755e-01	5.007e+00	3.919e+00	2.014e-01	5.027e-01	2.834e-01	7.143e+01	3.595e+01	7.982e+00	3.733e+00
scaffold15280-28569	4	7.938e-01	-1.472e+00	2.095e+00	4.823e-01	5.378e-01	2.902e-01	2.708e+01	3.167e+01	7.259e+00	2.853e+00
scaffold15280-31045	4	7.855e-01	1.551e-01	2.189e+00	9.435e-01	5.490e-01	2.789e-01	2.863e+01	3.082e+01	8.402e+00	3.236e+00
scaffold152942-1104	4	7.067e-01	5.029e+00	3.823e+00	1.884e-01	5.025e-01	2.803e-01	6.003e+01	3.536e+01	6.386e+00	3.671e+00
scaffold153078-5258	4	7.972e-01	5.069e-01	2.630e+00	8.472e-01	5.328e-01	2.841e-01	2.650e+01	3.154e+01	6.341e+00	3.029e+00
scaffold153078-5271	4	7.602e-01	-1.711e+00	3.471e+00	6.220e-01	5.349e-01	2.835e-01	4.346e+01	3.778e+01	8.406e+00	3.554e+00
scaffold15313-19804	4	7.952e-01	3.064e+00	2.647e+00	2.471e-01	5.340e-01	2.828e-01	3.269e+01	3.318e+01	4.159e+00	2.901e+00
scaffold15314-2169	4	7.515e-01	3.235e+00	3.388e+00	3.397e-01	5.130e-01	2.866e-01	4.427e+01	3.725e+01	5.803e+00	3.597e+00
scaffold153204-78	4	7.635e-01	4.978e+00	3.808e+00	1.912e-01	5.295e-01	2.897e-01	4.113e+01	3.544e+01	3.646e+00	3.431e+00
scaffold153208-25555	4	7.437e-01	4.139e+00	3.597e+00	2.498e-01	5.216e-01	2.920e-01	5.474e+01	3.702e+01	4.513e+00	3.425e+00
scaffold153266-8427	4	7.990e-01	4.288e+00	3.039e+00	1.583e-01	5.251e-01	2.792e-01	3.178e+01	3.088e+01	3.586e+00	2.918e+00
scaffold15332-13153	4	7.984e-01	2.217e+00	2.332e+00	3.417e-01	5.466e-01	2.888e-01	2.746e+01	3.008e+01	3.624e+00	2.815e+00
scaffold15332-13193	4	7.485e-01	1.589e+00	2.693e+00	5.551e-01	5.224e-01	2.796e-01	4.996e+01	3.581e+01	6.291e+00	3.353e+00
scaffold15340-17429	4	6.995e-01	9.415e-01	2.477e+00	7.039e-01	4.896e-01	2.856e-01	6.218e+01	3.644e+01	6.174e+00	3.647e+00
scaffold153457-9490	4	8.104e-01	1.331e+00	2.374e+00	5.751e-01	5.395e-01	2.832e-01	2.140e+01	2.804e+01	4.701e+00	2.613e+00
scaffold153548-8222	4	8.055e-01	-7.994e-01	2.263e+00	7.239e-01	5.315e-01	2.824e-01	2.084e+01	2.748e+01	6.465e+00	2.951e+00
scaffold153548-8231	4	7.639e-01	7.307e-01	2.537e+00	7.733e-01	5.296e-01	2.864e-01	4.094e+01	3.586e+01	6.276e+00	3.148e+00
scaffold153548-8237	4	8.039e-01	-3.447e+00	3.542e+00	3.305e-01	5.330e-01	2.875e-01	2.259e+01	2.702e+01	8.771e+00	3.260e+00
scaffold153548-12156	4	8.031e-01	-1.526e+00	2.522e+00	5.452e-01	5.248e-01	2.949e-01	2.878e+01	3.163e+01	8.911e+00	3.217e+00
scaffold153589-4881	4	7.705e-01	2.933e+00	2.934e+00	3.176e-01	5.356e-01	2.873e-01	4.732e+01	3.456e+01	4.227e+00	3.149e+00
scaffold153589-4974	4	7.436e-01	5.696e+00	3.857e+00	1.397e-01	5.039e-01	2.818e-01	5.232e+01	3.558e+01	4.801e+00	3.584e+00
scaffold153589-17247	4	7.946e-01	1.851e+00	2.005e+00	3.559e-01	5.291e-01	2.915e-01	3.507e+01	3.421e+01	3.966e+00	3.062e+00
scaffold15360-6202	4	8.006e-01	-5.962e-01	4.208e+00	8.873e-01	5.334e-01	2.826e-01	2.478e+01	2.989e+01	5.827e+00	2.986e+00
scaffold15360-6256	4	7.808e-01	-1.239e+00	4.083e+00	7.615e-01	5.280e-01	2.812e-01	2.964e+01	3.323e+01	6.846e+00	3.868e+00
scaffold15360-6277	4	7.907e-01	1.400e+00	3.170e+00	6.589e-01	5.059e-01	2.906e-01	3.092e+01	3.304e+01	6.129e+00	2.945e+00
scaffold15360-8259	4	7.933e-01	3.022e+00	2.555e+00	2.368e-01	5.366e-01	2.891e-01	3.469e+01	3.200e+01	4.330e+00	2.933e+00
scaffold153675-2883	4	7.833e-01	1.509e+00	2.484e+00	5.435e-01	5.191e-01	2.855e-01	3.562e+01	3.418e+01	5.092e+00	3.131e+00
scaffold15373-19745	4	7.542e-01	2.529e+00	2.719e+00	3.523e-01	5.224e-01	2.853e-01	4.883e+01	3.401e+01	4.142e+00	3.224e+00
scaffold15373-19747	4	7.233e-01	3.491e+00	3.180e+00	2.722e-01	5.385e-01	2.820e-01	6.094e+01	3.642e+01	5.025e+00	3.496e+00
scaffold154088-10469	4	7.880e-01	-1.220e-01	2.024e+00	9.519e-01	5.259e-01	2.758e-01	3.320e+01	3.316e+01	7.558e+00	3.056e+00
scaffold154142-11559	4	8.036e-01	7.281e-02	1.902e+00	9.695e-01	5.341e-01	2.878e-01	2.373e+01	2.894e+01	9.143e+00	3.236e+00
scaffold154142-11567	4	7.774e-01	-2.435e+00	2.747e+00	3.753e-01	5.214e-01	2.864e-01	4.233e+01	3.615e+01	1.233e+01	4.400e+00
scaffold154270-3624	4	7.695e-01	2.411e+00	2.953e+00	4.142e-01	5.104e-01	2.905e-01	4.381e+01	3.514e+01	6.556e+00	3.282e+00
scaffold1543-8135	4	7.907e-01	5.037e+00	3.307e+00	1.277e-01	5.299e-01	2.908e-01	3.265e+01	3.157e+01	3.529e+00	2.857e+00
scaffold1543-8143	4	6.948e-01	3.639e+00	3.424e+00	2.879e-01	5.085e-01	2.874e-01	5.766e+01	3.974e+01	6.550e+00	4.385e+00
scaffold154331-3544	4	8.139e-01	-1.324e+00	2.411e+00	5.830e-01	5.242e-01	2.846e-01	2.694e+01	3.013e+01	6.572e+00	2.925e+00
scaffold154378-335	4	7.188e-01	5.145e+00	4.023e+00	2.009e-01	5.185e-01	2.857e-01	6.029e+01	3.539e+01	4.775e+00	3.424e+00
scaffold154378-487	4	7.093e-01	2.797e+00	3.718e+00	4.518e-01	5.096e-01	2.874e-01	6.055e+01	3.755e+01	7.230e+00	3.961e+00
scaffold154378-524	4	7.696e-01	3.701e+00	3.405e+00	2.770e-01	5.291e-01	2.896e-01	4.321e+01	3.755e+01	6.323e+00	3.754e+00
scaffold154378-554	4	6.955e-01	2.650e+00	2.575e+00	3.034e-01	5.226e-01	2.864e-01	5.979e+01	4.024e+01	5.467e+00	3.644e+00
scaffold15441-5534	4	7.532e-01	-9.015e-01	3.142e+00	7.742e-01	5.377e-01	2.870e-01	4.492e+01	3.632e+01	9.818e+00	3.945e+00
scaffold154478-3454	4	7.922e-01	1.221e+00	3.501e+00	7.272e-01	5.492e-01	2.828e-01	3.244e+01	3.202e+01	9.717e+00	3.707e+00
scaffold15468-12555	4	7.285e-01	6.020e+00	3.593e+00	9.383e-02	5.073e-01	2.840e-01	5.501e+01	3.624e+01	3.886e+00	3.355e+00
scaffold15468-12625	4	6.908e-01	1.520e+00	2.840e+00	5.924e-01	5.104e-01	2.881e-01	6.602e+01	3.779e+01	5.823e+00	3.852e+00
scaffold154745-15598	4	7.766e-01	4.662e+00	3.926e+00	2.351e-01	5.219e-01	2.847e-01	3.906e+01	3.524e+01	5.284e+00	3.344e+00
scaffold154778-4993	4	7.365e-01	4.634e+00	3.235e+00	1.520e-01	4.984e-01	2.893e-01	5.421e+01	3.557e+01	4.818e+00	3.496e+00
scaffold154850-13903	4	7.765e-01	2.646e+00	2.969e+00	3.729e-01	5.545e-01	2.821e-01	4.380e+01	3.529e+01	4.067e+00	3.129e+00
scaffold154850-14475	4	7.196e-01	4.717e+00	3.862e+00	2.219e-01	5.091e-01	2.836e-01	5.953e+01	3.671e+01	5.097e+00	3.395e+00
scaffold154995-4055	4	7.654e-01	2.823e+00	2.684e+00	2.929e-01	5.239e-01	2.908e-01	4.808e+01	3.565e+01	3.651e+00	3.350e+00
scaffold155123-7615	4	7.575e-01	5.439e+00	3.316e+00	1.010e-01	5.151e-01	2.897e-01	4.915e+01	3.473e+01	4.349e+00	3.526e+00
scaffold15543-3553	4	7.723e-01	5.833e+00	4.278e+00	1.727e-01	5.283e-01	2.830e-01	4.623e+01	3.487e+01	3.332e+00	3.322e+00
scaffold15548-8508	4	7.863e-01	2.528e+00	2.450e+00	3.021e-01	5.220e-01	2.868e-01	3.471e+01	3.207e+01	3.803e+00	3.060e+00
scaffold15548-8562	4	7.889e-01	3.666e+00	3.196e+00	2.514e-01	5.330e-01	2.846e-01	3.470e+01	3.310e+01	4.305e+00	3.154e+00
scaffold15569-9325	4	6.810e-01	5.248e+00	3.767e+00	1.635e-01	4.939e-01	2.851e-01	6.620e+01	4.052e+01	5.434e+00	4.766e+00
scaffold15576-13842	4	7.520e-01	5.514e+00	4.012e+00	1.693e-01	5.206e-01	2.935e-01	5.494e+01	3.566e+01	4.565e+00	3.382e+00
scaffold15576-13871	4	7.778e-01	7.405e+00	4.188e+00	7.702e-02	5.276e-01	2.803e-01	4.128e+01	3.295e+01	3.589e+00	3.168e+00
scaffold155832-5521	4	8.021e-01	5.000e+00	3.541e+00	1.579e-01	5.347e-01	2.844e-01	3.831e+01	3.539e+01	3.488e+00	3.076e+00
scaffold15621-686	4	7.723e-01	6.435e+00	4.192e+00	1.248e-01	5.221e-01	2.861e-01	4.308e+01	3.677e+01	4.041e+00	3.145e+00
scaffold15621-776	4	7.547e-01	5.446e+00	3.805e+00	1.524e-01	5.178e-01	2.871e-01	4.621e+01	3.557e+01	5.131e+00	3.327e+00
scaffold15621-789	4	7.483e-01	4.729e+00	3.947e+00	2.308e-01	5.366e-01	2.857e-01	4.360e+01	3.748e+01	7.002e+00	4.276e+00
scaffold15621-794	4	7.546e-01	1.441e+00	2.365e+00	5.424e-01	5.332e-01	2.804e-01	5.180e+01	3.670e+01	6.286e+00	3.575e+00
scaffold15628-9863	4	7.927e-01	2.918e+00	3.825e+00	4.455e-01	5.355e-01	2.837e-01	3.610e+01	3.459e+01	6.606e+00	3.311e+00
scaffold156444-178	4	7.990e-01	4.862e+00	3.416e+00	1.547e-01	5.283e-01	2.931e-01	3.074e+01	3.170e+01	3.517e+00	3.000e+00
scaffold156471-2992	4	6.964e-01	4.603e+00	3.545e+00	1.942e-01	5.010e-01	2.821e-01	6.252e+01	3.591e+01	5.790e+00	3.693e+00
scaffold156850-9487	4	7.666e-01	5.411e+00	4.150e+00	1.922e-01	5.127e-01	2.878e-01	4.557e+01	3.554e+01	5.337e+00	3.493e+00
scaffold156850-9496	4	7.886e-01	3.459e+00	2.720e+00	2.034e-01	5.405e-01	2.814e-01	3.504e+01	3.336e+01	3.874e+00	3.016e+00
scaffold156850-9547	4	7.815e-01	3.366e+00	3.026e+00	2.660e-01	5.371e-01	2.887e-01	4.247e+01	3.543e+01	4.695e+00	3.143e+00
scaffold156853-5430	4	8.045e-01	1.085e+00	1.966e+00	5.809e-01	5.411e-01	2.835e-01	2.439e+01	3.022e+01	4.390e+00	2.671e+00
scaffold156937-6445	4	7.257e-01	2.964e+00	3.032e+00	3.283e-01	5.129e-01	2.877e-01	5.816e+01	3.593e+01	4.369e+00	3.869e+00
scaffold157105-14090	4	7.934e-01	1.135e-01	2.447e+00	9.630e-01	5.195e-01	2.875e-01	3.037e+01	3.278e+01	6.669e+00	3.017e+00
scaffold157156-9534	4	6.921e-01	4.524e+00	3.875e+00	2.430e-01	5.103e-01	2.844e-01	6.621e+01	3.667e+01	5.272e+00	3.997e+00
scaffold157156-9738	4	6.391e-01	5.554e+00	4.283e+00	1.947e-01	4.964e-01	2.879e-01	7.567e+01	3.489e+01	5.382e+00	3.954e+00
scaffold15731-8328	4	7.882e-01	1.889e+00	2.269e+00	4.050e-01	5.297e-01	2.815e-01	3.823e+01	3.614e+01	4.955e+00	3.328e+00
scaffold157346-9523	4	7.684e-01	-5.448e-01	3.181e+00	8.640e-01	5.232e-01	2.856e-01	4.258e+01	3.758e+01	8.929e+00	3.951e+00
scaffold157346-9547	4	8.031e-01	1.148e+00	2.890e+00	6.912e-01	5.232e-01	2.881e-01	2.198e+01	2.733e+01	6.278e+00	2.815e+00
scaffold157450-14018	4	7.870e-01	6.085e-01	2.496e+00	8.074e-01	5.269e-01	2.902e-01	3.382e+01	3.151e+01	1.034e+01	3.134e+00
scaffold157517-16249	4	7.905e-01	-3.150e+00	3.966e+00	4.271e-01	5.225e-01	2.834e-01	3.321e+01	3.421e+01	7.154e+00	3.126e+00
scaffold157668-9705	4	7.127e-01	5.886e+00	3.542e+00	9.658e-02	5.269e-01	2.798e-01	5.949e+01	3.711e+01	5.830e+00	3.902e+00
scaffold157668-9749	4	7.822e-01	2.941e+00	2.863e+00	3.044e-01	5.369e-01	2.855e-01	4.008e+01	3.474e+01	3.592e+00	2.967e+00
scaffold157733-2345	4	7.717e-01	5.436e+00	3.658e+00	1.373e-01	5.287e-01	2.880e-01	4.555e+01	3.443e+01	3.632e+00	3.265e+00
scaffold157733-3340	4	7.890e-01	4.715e+00	3.358e+00	1.603e-01	5.320e-01	2.847e-01	3.751e+01	3.350e+01	3.389e+00	3.142e+00
scaffold157737-15997	4	7.649e-01	-2.606e+00	2.889e+00	3.670e-01	5.147e-01	2.899e-01	3.842e+01	3.753e+01	1.101e+01	4.046e+00
scaffold15802-6464	4	8.147e-01	5.897e-01	1.829e+00	7.472e-01	5.369e-01	2.887e-01	1.853e+01	2.642e+01	4.638e+00	2.489e+00
scaffold15802-6514	4	7.764e-01	2.503e+00	2.945e+00	3.952e-01	5.326e-01	2.817e-01	3.873e+01	3.601e+01	9.991e+00	3.626e+00
